1500
'011084',1951,6,81.1,69.1 
'011084',1951,7,83.1,71.5 
'011084',1951,8,84.6,72.2 
'011084',1951,9,79,68.7 
'011084',1951,10,70.5,56.4 
'011084',1951,11,53.7,39.4 
'011084',1951,12,56.9,43.9 
'011084',1952,1,60.5,48.8 
'011084',1952,2,57.7,45.4 
'011084',1952,3,58.5,44 
'011084',1952,4,64.8,50.2 
'011084',1952,5,74.9,62.2 
'011084',1952,6,83.1,68.6 
'011084',1952,7,83.6,70.5 
'011084',1952,8,82.1,70.7 
'011084',1952,9,75.5,64.3 
'011084',1952,10,60.6,43.6 
'011084',1952,11,55.8,39.9 
'011084',1952,12,51.7,39.9 
'011084',1953,1,54.2,40.2 
'011084',1953,2,55,43.2 
'011084',1953,3,63.8,50.5 
'011084',1953,4,65.7,51.9 
'011084',1953,5,77,64.7 
'011084',1953,6,81.7,68.8 
'011084',1953,7,81.2,70.2 
'011084',1953,8,80.9,69.6 
'011084',1953,9,75.5,61.9 
'011084',1953,10,67.4,51.4 
'011084',1953,11,56,41 
'011084',1953,12,51.9,41.5 
'011084',1954,1,53.8,40.3 
'011084',1954,2,56.4,40.4 
'011084',1954,3,59.3,47.2 
'011084',1954,4,71.2,57.6 
'011084',1954,5,69.8,56.5 
'011084',1954,6,81.6,66.4 
'011084',1954,7,83.9,71.8 
'011084',1954,8,85.1,69.7 
